"REV_OUTCOME","p_value","r_value","excluded_study","num_of_studies"
"CD010943_1",0.21562583534404,0.726971473923611,"STD-Holbech-2011",4
"CD010943_2",0.00588569425437731,0.12329100343823,"STD-NCT00160511",5
"CD010943_3",0.0262196470746659,0.0465006226772882,"STD-Finnerup-2009",6
"CD010943_4",0.0021060127001516,0.00405401804375562,"STD-Falah-2012",5
"CD010943_5",0.367524772982821,0.895903191196297,"STD-NCT00160511",6
"CD010952_2",0.977653814106164,0.977653814106164,"STD-van-der-Heijde-2005",3
"CD010952_7",4.6754581584972e-05,0.0194055389447736,"STD-Dougados-1999",14
"CD010952_12",0.041538352523388,0.188762925076505,"STD-Dougados-2001",10
"CD010952_13",0.907684361315816,0.995173424781474,"STD-Barkhuizen-2006",12
"CD010952_14",0.00415029314323495,0.0321053277338728,"STD-Dougados-1999",34
"CD010952_15",0.460960056915754,0.87383908476181,"STD-Sieper-2008",29
"CD010952_16",0.524693829130811,0.91535297486188,"STD-Dougados-1999",21
"CD010952_10",2.92510001101175e-10,4.21921626034097e-05,"STD-Barkhuizen-2006",10
"CD010956_1",0.686044761238861,0.972836226933176,"STD-Einstein_x002d_DVT-dose-study",13
"CD010956_2",0.343442419581886,0.598626847650424,"STD-Einstein_x002d_DVT-study",12
"CD010956_3",0.954921803916204,0.954921803916204,"STD-Hokusai_x002d_VTE-study",11
"CD010956_5",0.435289579657336,0.499114664243863,"STD-THRIVE-I",10
"CD010956_6",0.0102810387721737,0.0141577553285766,"STD-THRIVE-I",13
"CD010957_2",0.74351918576129,0.96143679993182,"STD-AMPLIFY-Study",3
"CD010958_1",0.936106603668686,0.936106603668686,"STD-Meier-2003",5
"CD010958_2",0.10332142056997,0.543346867237675,"STD-Binder-2009",3
"CD010958_3",0.88081847812102,0.88081847812102,"STD-Meier-2003",4
"CD010959_1",0.0917312154705147,0.459910127102662,"STD-Dharaniyadewi-2013",19
"CD010959_2",0.889281365559273,0.889281365559273,"STD-Svoboda-2007",4
"CD010959_4",0.923152210505108,0.923152210505108,"STD-Oliveira-2013",3
"CD010959_9",0.900937606366177,0.999407513648128,"STD-Annane-2013",8
"CD010959_38",0.754665846917683,0.754665846917683,"STD-Oliveira-2013",3
"CD010960_5",0.897500995370556,0.952938667493981,"STD-Fredberg-2004",6
"CD010960_7",0.0130415699409644,0.0130415699409644,"STD-Pforringer-1994",7
"CD010960_8",0.0670294245498019,0.951881563918481,"STD-Alfredson-2005",4
"CD010971_1",7.26137229285646e-08,2.9674325988453e-06,"STD-Gro_x03b2_-2013",8
"CD010971_2",0.00466842781882701,0.153571054546444,"STD-Sanders-1994",3
"CD010972_5",0.00534645927147377,0.018742294929938,"STD-Guandalini-2010",7
"CD010972_6",0.00044383290078732,0.0021472254931781,"STD-Guandalini-2010",6
"CD010972_7",0.000262266649772925,0.000301154346732205,"STD-Francavilla-2010",4
"CD010976_1",0.296798834121075,0.349266148462722,"STD-Turnquest-1998",5
"CD010976_2",0.890056075527381,0.911279678359421,"STD-Lyell-2010",3
"CD010976_5",0.722997042340439,0.722997042340439,"STD-Gibbs-1988",4
"CD010982_6",0.979848842581947,0.980642418868203,"STD-Han-2015",4
"CD010983_1",0.485539505066303,0.485539505066303,"STD-Diedrich-2005",3
"CD010983_16",0.399869076821384,0.485539505066303,"STD-Diedrich-2005",3
